from_gate,to_gate,distance_km,min_travel_time_min
TG-01,TG-02,52.8,31.68
TG-01,TG-03,93.3,55.98
TG-01,TG-04,138.8,83.28
TG-01,TG-05,183.3,109.98
TG-01,TG-06,238.0,142.8
TG-01,TG-07,291.5,174.9
TG-01,TG-08,349.3,209.58
TG-02,TG-01,52.8,31.68
TG-02,TG-03,40.5,24.3
TG-02,TG-04,86.0,51.6
TG-02,TG-05,130.5,78.3
TG-02,TG-06,185.2,111.12
TG-02,TG-07,238.7,143.22
TG-02,TG-08,296.5,177.9
TG-03,TG-01,93.3,55.98
TG-03,TG-02,40.5,24.3
TG-03,TG-04,45.5,27.3
TG-03,TG-05,90.0,54.0
TG-03,TG-06,144.7,86.82
TG-03,TG-07,198.2,118.92
TG-03,TG-08,256.0,153.6
TG-04,TG-01,138.8,83.28
TG-04,TG-02,86.0,51.6
TG-04,TG-03,45.5,27.3
TG-04,TG-05,44.5,26.7
TG-04,TG-06,99.2,59.52
TG-04,TG-07,152.7,91.62
TG-04,TG-08,210.5,126.3
TG-05,TG-01,183.3,109.98
TG-05,TG-02,130.5,78.3
TG-05,TG-03,90.0,54.0
TG-05,TG-04,44.5,26.7
TG-05,TG-06,54.7,32.82
TG-05,TG-07,108.2,64.92
TG-05,TG-08,166.0,99.6
TG-06,TG-01,238.0,142.8
TG-06,TG-02,185.2,111.12
TG-06,TG-03,144.7,86.82
TG-06,TG-04,99.2,59.52
TG-06,TG-05,54.7,32.82
TG-06,TG-07,53.5,32.1
TG-06,TG-08,111.3,66.78
TG-07,TG-01,291.5,174.9
TG-07,TG-02,238.7,143.22
TG-07,TG-03,198.2,118.92
TG-07,TG-04,152.7,91.62
TG-07,TG-05,108.2,64.92
TG-07,TG-06,53.5,32.1
TG-07,TG-08,57.8,34.68
TG-08,TG-01,349.3,209.58
TG-08,TG-02,296.5,177.9
TG-08,TG-03,256.0,153.6
TG-08,TG-04,210.5,126.3
TG-08,TG-05,166.0,99.6
TG-08,TG-06,111.3,66.78
TG-08,TG-07,57.8,34.68
