Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Packets/s,Source IP,Destination IP,Label
80,39644,708,0,41790,0,17813.94,185.220.167.100,10.0.0.1,DDoS
8080,1145746,32,34,9235,47249,57.55,192.168.1.189,10.0.0.4,BENIGN
80,21444617,32,1,3027,57,1.49,45.154.255.18,10.0.0.1,DoS Hulk
22,354677,23,39,7503,52960,174.32,192.168.1.220,10.0.0.9,BENIGN
22,575409,9,25,4487,26912,58.99,192.168.1.236,10.0.0.2,BENIGN
80,30564,27,2,7462,2016,918.76,192.168.1.223,10.0.0.9,BENIGN
443,3563409,7,37,2420,22279,12.34,192.168.1.82,10.0.0.2,BENIGN
22,233897,16,22,4737,10941,161.77,192.168.1.70,10.0.0.5,BENIGN
80,677077,17,19,1246,13914,53.09,192.168.1.75,10.0.0.2,BENIGN
554,447364,30,5,12384,2471,78.06,192.168.1.203,10.0.0.3,BENIGN
554,610898,16,28,6105,37353,71.91,192.168.1.74,10.0.0.3,BENIGN
53,66645,27,38,6322,44581,960.9,192.168.1.21,10.0.0.2,BENIGN
80,5473433,68,3,5747,101,12.42,45.154.255.118,10.0.0.1,DoS Hulk
554,250125,30,17,5575,19943,187.16,192.168.1.201,10.0.0.3,BENIGN
554,429998,3,16,1471,2740,44.08,192.168.1.121,10.0.0.1,BENIGN
80,1934273,24,17,11744,5543,21.19,192.168.1.64,10.0.0.4,BENIGN
22,168001,28,16,13792,22178,260.35,192.168.1.193,10.0.0.2,BENIGN
80,387047,685,0,47745,0,1769.35,185.220.19.252,10.0.0.1,DDoS
80,26572763,46,1,4572,73,1.73,45.154.255.195,10.0.0.1,DoS Hulk
443,577596,14,35,2476,27767,84.69,192.168.1.110,10.0.0.2,BENIGN
80,986167,19,26,9117,33776,45.58,192.168.1.59,10.0.0.5,BENIGN
443,2175981,13,14,3282,7464,12.4,192.168.1.49,10.0.0.4,BENIGN
443,40131,17,32,5453,35330,1191.29,192.168.1.163,10.0.0.8,BENIGN
8080,907701,8,19,950,20184,29.71,192.168.1.207,10.0.0.3,BENIGN
443,4378396,27,3,13116,844,6.85,192.168.1.63,10.0.0.9,BENIGN
443,3747778,3,26,1041,21480,7.74,192.168.1.233,10.0.0.1,BENIGN
22,1907128,31,27,7451,14603,30.4,192.168.1.70,10.0.0.3,BENIGN
443,4870146,14,13,6886,11113,5.54,192.168.1.48,10.0.0.3,BENIGN
8080,1095445,11,2,2018,1209,11.86,192.168.1.147,10.0.0.7,BENIGN
443,244445,857,0,57833,0,3504.46,185.220.139.69,10.0.0.1,DDoS
80,178562,9,27,4248,29030,200.49,192.168.1.88,10.0.0.9,BENIGN
443,346138,8,4,2593,2521,34.57,192.168.1.237,10.0.0.5,BENIGN
443,2547926,18,27,1820,28179,17.65,192.168.1.231,10.0.0.5,BENIGN
8080,708935,10,18,2666,17711,39.44,192.168.1.112,10.0.0.5,BENIGN
80,1842458,22,34,3900,18584,30.38,192.168.1.229,10.0.0.5,BENIGN
443,350568,3,38,387,15282,116.62,192.168.1.54,10.0.0.2,BENIGN
80,1707776,34,33,9925,34363,39.21,192.168.1.119,10.0.0.4,BENIGN
554,505264,20,23,4775,5331,84.94,192.168.1.140,10.0.0.6,BENIGN
21,1086812,25,21,4305,2817,45.96,103.203.57.229,10.0.0.4,SSH-Patator
53,292807,9,12,1144,6355,71.48,192.168.1.145,10.0.0.7,BENIGN
8080,3222204,13,9,5824,9048,6.83,192.168.1.105,10.0.0.7,BENIGN
80,340466,9,12,3480,4388,61.5,192.168.1.103,10.0.0.8,BENIGN
8080,340892,1685,0,133024,0,4941.45,185.220.74.84,10.0.0.1,DDoS
443,790130,24,17,2730,20135,51.82,192.168.1.98,10.0.0.2,BENIGN
