ts,src_ip,src_port,dst_ip,dst_port,proto,duration,src_bytes,dst_bytes,type,label
1600000678,192.168.1.112,34931,10.0.0.2,502,tcp,0.0659,3447,2857,normal,0
1600000831,192.168.1.65,27831,10.0.0.6,1883,tcp,1.1621,3591,920,normal,0
1600000837,192.168.1.25,53579,10.0.0.9,8883,tcp,0.8958,7154,12979,ddos,1
1600000613,192.168.1.142,48454,10.0.0.8,502,tcp,0.2463,792,1555,normal,0
1600000192,192.168.1.15,14192,10.0.0.4,1883,tcp,0.1499,512,602,normal,0
1600000028,192.168.1.137,17160,10.0.0.4,8883,tcp,1.0147,11670,2674,scanning,1
1600000835,192.168.1.140,49059,10.0.0.9,502,tcp,0.2695,821,1097,normal,0
1600000322,192.168.1.119,65300,10.0.0.4,1883,tcp,0.07,1864,2014,normal,0
1600000019,192.168.1.29,28959,10.0.0.2,502,tcp,0.8252,445,1133,normal,0
1600000190,192.168.1.159,40424,10.0.0.7,1883,tcp,0.3988,84050,36952,ddos,1
1600000111,192.168.1.77,54918,10.0.0.7,1883,tcp,0.0479,313,710,normal,0
1600000340,192.168.1.93,1324,10.0.0.2,80,tcp,0.8601,3405,1073,normal,0
1600000382,192.168.1.81,37014,10.0.0.8,80,tcp,0.5713,138676,87540,scanning,1
1600000189,192.168.1.174,1851,10.0.0.8,502,tcp,0.5752,133800,23532,password,1
1600000078,192.168.1.162,10691,10.0.0.7,8883,tcp,1.0391,61286,14947,ddos,1
1600000625,192.168.1.88,47662,10.0.0.2,80,tcp,0.078,904,1141,normal,0
1600000133,192.168.1.40,22151,10.0.0.3,502,tcp,0.8018,2185,1353,normal,0
1600000114,192.168.1.90,38822,10.0.0.6,8883,tcp,0.6198,1403,1275,normal,0
1600000218,192.168.1.101,57439,10.0.0.2,80,tcp,0.0473,1912,524,normal,0
1600000797,192.168.1.164,18577,10.0.0.8,8883,tcp,0.9633,2703,2539,normal,0
1600000530,192.168.1.164,22925,10.0.0.4,502,tcp,0.248,69871,58989,backdoor,1
1600000100,192.168.1.36,33269,10.0.0.6,80,tcp,1.2729,14796,15362,ddos,1
1600000485,192.168.1.182,60438,10.0.0.7,80,tcp,1.9395,46447,17602,backdoor,1
1600000708,192.168.1.184,59057,10.0.0.7,1883,tcp,1.4876,66262,58213,ddos,1
1600000531,192.168.1.176,13912,10.0.0.5,80,tcp,0.4283,1852,2966,normal,0
1600000426,192.168.1.127,34007,10.0.0.3,1883,tcp,0.5575,85451,29342,backdoor,1
1600000107,192.168.1.41,47889,10.0.0.5,502,tcp,0.6221,51234,38003,password,1
1600000946,192.168.1.179,30636,10.0.0.2,1883,tcp,1.6599,50276,11569,ddos,1
1600000169,192.168.1.157,21741,10.0.0.3,80,tcp,0.1139,229,603,normal,0
1600000183,192.168.1.88,11360,10.0.0.5,80,tcp,0.2062,467,586,normal,0
1600000373,192.168.1.150,18921,10.0.0.8,502,tcp,0.2724,88390,67064,ddos,1
1600000402,192.168.1.40,43839,10.0.0.9,8883,tcp,0.1924,4890,1652,normal,0
1600000909,192.168.1.161,34353,10.0.0.9,1883,tcp,0.8312,121649,71092,ddos,1
1600000674,192.168.1.157,4741,10.0.0.1,502,tcp,0.4262,1930,251,normal,0
1600000753,192.168.1.142,13556,10.0.0.7,502,tcp,0.0164,1493,666,normal,0
1600000334,192.168.1.33,30265,10.0.0.9,8883,tcp,0.8617,92212,55973,password,1
1600000285,192.168.1.189,14073,10.0.0.5,80,tcp,0.431,403,877,normal,0
1600000100,192.168.1.182,56898,10.0.0.6,502,tcp,0.7724,1391,757,normal,0
1600000798,192.168.1.196,51134,10.0.0.8,80,tcp,0.0416,329,626,normal,0
1600000404,192.168.1.24,1379,10.0.0.1,80,tcp,2.5896,1188,535,normal,0
1600000350,192.168.1.175,12754,10.0.0.1,502,tcp,1.2441,836,808,normal,0
1600000561,192.168.1.145,62521,10.0.0.8,502,tcp,0.0524,1556,802,normal,0
