srcip,sport,dstip,dsport,proto,dur,sbytes,dbytes,Spkts,Dpkts,attack_cat,label
10.40.0.126,51329,149.171.126.5,80,tcp,2.7743,1239,1332,9,27,Normal,0
10.40.0.27,31287,149.171.126.9,443,udp,0.071,1161,1389,21,3,Normal,0
175.45.176.41,23334,149.171.126.1,80,tcp,0.4663,16572,384,143,2,DoS,1
10.40.0.89,18877,149.171.126.1,25,udp,0.4563,3290,7496,15,18,Normal,0
10.40.0.109,49762,149.171.126.6,25,tcp,0.3495,3463,6461,27,21,Normal,0
10.40.0.104,17274,149.171.126.4,25,udp,2.3439,2409,1021,2,5,Normal,0
10.40.0.206,8882,149.171.126.6,25,udp,0.3032,2492,4135,14,8,Normal,0
10.40.0.202,17674,149.171.126.7,25,udp,1.4014,2662,1885,13,11,Normal,0
10.40.0.176,18298,149.171.126.8,25,udp,0.2054,1677,6272,2,5,Normal,0
10.40.0.25,34918,149.171.126.3,21,udp,0.2709,3202,5388,8,16,Normal,0
10.40.0.86,1111,149.171.126.3,25,udp,0.4106,132,6438,8,28,Normal,0
10.40.0.199,57918,149.171.126.8,21,udp,0.8378,1950,4599,13,20,Normal,0
175.45.176.86,24186,149.171.126.1,80,tcp,0.2519,13719,465,87,0,DoS,1
10.40.0.132,42288,149.171.126.3,21,tcp,0.1532,1973,6822,28,22,Normal,0
10.40.0.50,10733,149.171.126.7,21,udp,0.1798,738,6796,29,27,Normal,0
10.40.0.101,24065,149.171.126.2,443,udp,5.3483,3717,5855,3,9,Normal,0
10.40.0.138,10367,149.171.126.8,25,tcp,0.0995,458,7182,16,13,Normal,0
10.40.0.106,17608,149.171.126.9,443,udp,0.9689,1939,2135,27,7,Normal,0
10.40.0.234,56389,149.171.126.9,21,tcp,0.3834,3929,857,6,22,Normal,0
10.40.0.145,4556,149.171.126.2,25,tcp,1.7506,916,5332,6,18,Normal,0
10.40.0.208,18857,149.171.126.3,80,tcp,0.5173,452,4278,3,13,Normal,0
10.40.0.58,49574,149.171.126.5,25,udp,0.1676,2473,6165,12,14,Normal,0
10.40.0.109,43093,149.171.126.5,443,udp,3.3175,531,2025,6,17,Normal,0
175.45.176.61,18265,149.171.126.1,80,tcp,0.055,16175,15,111,3,DoS,1
10.40.0.64,19847,149.171.126.8,80,tcp,0.0414,698,5772,10,26,Normal,0
10.40.0.31,38794,149.171.126.7,443,udp,0.1021,2322,1552,9,21,Normal,0
175.45.177.80,56298,149.171.126.2,43148,tcp,0.034,53,0,1,0,Reconnaissance,1
175.45.176.205,18127,149.171.126.1,80,tcp,0.5643,13181,433,104,3,DoS,1
10.40.0.117,64717,149.171.126.1,443,udp,0.078,2230,6717,28,18,Normal,0
175.45.176.220,47602,149.171.126.1,80,tcp,0.9828,9572,485,59,3,DoS,1
175.45.177.119,6215,149.171.126.2,12695,tcp,0.0454,70,0,1,0,Reconnaissance,1
175.45.178.88,47207,149.171.126.3,443,tcp,1.707,3911,1372,35,28,Exploits,1
175.45.176.160,5167,149.171.126.1,80,tcp,0.7611,4084,120,100,4,DoS,1
10.40.0.98,38060,149.171.126.9,80,tcp,1.7818,1404,1110,12,12,Normal,0
10.40.0.10,5244,149.171.126.6,25,udp,1.723,1388,5994,6,12,Normal,0
175.45.177.167,23526,149.171.126.2,13181,tcp,0.0144,67,0,1,0,Reconnaissance,1
175.45.179.212,42068,149.171.126.4,443,udp,0.3294,1474,703,18,9,Fuzzers,1
10.40.0.229,46756,149.171.126.4,25,tcp,0.0778,1464,2955,27,25,Normal,0
10.40.0.2,50564,149.171.126.2,80,udp,0.8338,2666,2531,23,14,Normal,0
10.40.0.162,5971,149.171.126.1,80,tcp,0.0449,2309,2685,23,19,Normal,0
10.40.0.93,24534,149.171.126.4,53,tcp,0.3563,1282,7924,26,25,Normal,0
10.40.0.73,48045,149.171.126.7,80,tcp,1.4867,2679,7397,29,24,Normal,0
175.45.179.24,60870,149.171.126.4,443,udp,1.1325,2037,875,9,2,Fuzzers,1
175.45.177.19,34955,149.171.126.2,36332,tcp,0.0308,65,0,1,0,Reconnaissance,1
10.40.0.69,55736,149.171.126.1,21,udp,0.8659,227,806,23,16,Normal,0
10.40.0.52,55304,149.171.126.1,443,tcp,0.4101,692,1332,29,22,Normal,0
175.45.178.12,8250,149.171.126.3,502,tcp,1.645,8115,1467,22,18,Exploits,1
10.40.0.170,51892,149.171.126.9,21,tcp,0.8043,1131,3670,24,9,Normal,0
10.40.0.176,14282,149.171.126.4,443,udp,0.7768,2045,88,13,20,Normal,0
175.45.178.46,21443,149.171.126.3,8080,tcp,2.1516,8346,1298,40,46,Exploits,1
10.40.0.189,9318,149.171.126.9,25,udp,0.2012,329,6187,24,15,Normal,0
