tag_id,vehicle_plate,tollgate_id,timestamp,route_id
TAG-1036,TN70DY8744,TG-03,2026-09-03 05:03:35,NH44
TAG-1013,UP99UF1525,TG-02,2026-09-03 05:45:27,NH44
TAG-1036,TN70DY8744,TG-04,2026-09-03 05:46:08,NH44
TAG-1046,HR55ST8973,TG-02,2026-09-03 06:20:16,NH44
TAG-1036,TN70DY8744,TG-05,2026-09-03 06:22:15,NH44
TAG-1013,UP99UF1525,TG-03,2026-09-03 06:28:43,NH44
TAG-1048,KA96HB8811,TG-01,2026-09-03 06:29:07,NH44
TAG-1046,HR55ST8973,TG-03,2026-09-03 06:29:38,NH44
TAG-1048,KA96HB8811,TG-02,2026-09-03 06:34:44,NH44
TAG-1006,HR06TN7201,TG-06,2026-09-03 06:40:27,NH44
TAG-1005,UP14CC6635,TG-04,2026-09-03 06:47:35,NH44
TAG-1046,HR55ST8973,TG-03,2026-09-03 06:58:03,NH44
TAG-1013,UP99UF1525,TG-04,2026-09-03 07:06:52,NH44
TAG-1048,KA96HB8811,TG-02,2026-09-03 07:09:53,NH44
TAG-1006,HR06TN7201,TG-05,2026-09-03 07:19:43,NH44
TAG-1005,UP14CC6635,TG-03,2026-09-03 07:31:00,NH44
TAG-1046,HR55ST8973,TG-04,2026-09-03 07:37:41,NH44
TAG-1048,KA96HB8811,TG-03,2026-09-03 07:38:44,NH44
TAG-1013,UP99UF1525,TG-05,2026-09-03 07:41:30,NH44
TAG-1018,UP29ZD9085,TG-06,2026-09-03 07:41:44,NH44
TAG-1009,MH30WK8428,TG-04,2026-09-03 07:47:59,NH44
TAG-1006,HR06TN7201,TG-04,2026-09-03 07:58:41,NH44
TAG-1005,UP14CC6635,TG-02,2026-09-03 08:09:00,NH44
TAG-1046,HR55ST8973,TG-05,2026-09-03 08:09:37,NH44
TAG-1048,KA96HB8811,TG-04,2026-09-03 08:13:54,NH44
TAG-1002,TN65QP9928,TG-03,2026-09-03 08:16:25,NH44
TAG-1023,DL59AT5315,TG-02,2026-09-03 08:17:27,NH44
TAG-1047,DL25HZ9883,TG-06,2026-09-03 08:17:35,NH44
TAG-1032,TS67LF2049,TG-04,2026-09-03 08:22:51,NH44
TAG-1013,UP99UF1525,TG-06,2026-09-03 08:28:27,NH44
TAG-1009,MH30WK8428,TG-03,2026-09-03 08:29:49,NH44
TAG-1006,HR06TN7201,TG-03,2026-09-03 08:30:08,NH44
TAG-1017,HR96QX7543,TG-01,2026-09-03 08:30:39,NH44
TAG-1003,GJ29LG1106,TG-05,2026-09-03 08:32:16,NH44
TAG-1018,UP29ZD9085,TG-05,2026-09-03 08:38:39,NH44
TAG-1044,GJ63MW1960,TG-01,2026-09-03 08:43:53,NH44
TAG-1005,UP14CC6635,TG-01,2026-09-03 08:50:55,NH44
TAG-1048,KA96HB8811,TG-05,2026-09-03 08:51:26,NH44
TAG-1023,DL59AT5315,TG-03,2026-09-03 08:51:30,NH44
TAG-1026,KA77HA6947,TG-02,2026-09-03 08:53:01,NH44
TAG-1046,HR55ST8973,TG-06,2026-09-03 08:54:10,NH44
TAG-1002,TN65QP9928,TG-04,2026-09-03 09:01:14,NH44
TAG-1009,MH30WK8428,TG-02,2026-09-03 09:01:23,NH44
TAG-1032,TS67LF2049,TG-05,2026-09-03 09:03:27,NH44
TAG-1006,HR06TN7201,TG-02,2026-09-03 09:05:34,NH44
TAG-1017,HR96QX7543,TG-02,2026-09-03 09:08:23,NH44
TAG-1013,UP99UF1525,TG-07,2026-09-03 09:09:56,NH44
TAG-1047,DL25HZ9883,TG-05,2026-09-03 09:10:08,NH44
TAG-1018,UP29ZD9085,TG-04,2026-09-03 09:11:33,NH44
TAG-1012,DL60KZ4598,TG-01,2026-09-03 09:11:37,NH44
TAG-1015,TN84MX8517,TG-05,2026-09-03 09:18:13,NH44
TAG-1044,GJ63MW1960,TG-02,2026-09-03 09:22:46,NH44
TAG-1003,GJ29LG1106,TG-06,2026-09-03 09:24:56,NH44
TAG-1026,KA77HA6947,TG-03,2026-09-03 09:25:00,NH44
TAG-1023,DL59AT5315,TG-04,2026-09-03 09:28:06,NH44
TAG-1037,TN61VE2588,TG-05,2026-09-03 09:30:30,NH44
TAG-1048,KA96HB8811,TG-06,2026-09-03 09:36:49,NH44
TAG-1009,MH30WK8428,TG-01,2026-09-03 09:40:07,NH44
TAG-1002,TN65QP9928,TG-05,2026-09-03 09:40:16,NH44
TAG-1047,DL25HZ9883,TG-04,2026-09-03 09:42:44,NH44
TAG-1017,HR96QX7543,TG-03,2026-09-03 09:44:00,NH44
TAG-1046,HR55ST8973,TG-07,2026-09-03 09:44:29,NH44
TAG-1006,HR06TN7201,TG-01,2026-09-03 09:47:35,NH44
TAG-1032,TS67LF2049,TG-06,2026-09-03 09:48:17,NH44
TAG-1012,DL60KZ4598,TG-02,2026-09-03 09:48:25,NH44
TAG-1025,TN20JD9689,TG-08,2026-09-03 09:48:53,NH44
TAG-1049,DL08ZB4044,TG-01,2026-09-03 09:49:50,NH44
TAG-1018,UP29ZD9085,TG-03,2026-09-03 09:50:01,NH44
TAG-1015,TN84MX8517,TG-04,2026-09-03 09:56:47,NH44
TAG-1026,KA77HA6947,TG-04,2026-09-03 10:02:35,NH44
TAG-1023,DL59AT5315,TG-05,2026-09-03 10:03:22,NH44
TAG-1044,GJ63MW1960,TG-03,2026-09-03 10:05:15,NH44
TAG-1037,TN61VE2588,TG-06,2026-09-03 10:16:17,NH44
TAG-1003,GJ29LG1106,TG-07,2026-09-03 10:17:46,NH44
TAG-1002,TN65QP9928,TG-06,2026-09-03 10:18:03,NH44
TAG-1018,UP29ZD9085,TG-02,2026-09-03 10:19:11,NH44
TAG-1021,HR71WA2876,TG-03,2026-09-03 10:20:57,NH44
TAG-1017,HR96QX7543,TG-04,2026-09-03 10:27:43,NH44
TAG-1049,DL08ZB4044,TG-02,2026-09-03 10:28:10,NH44
TAG-1012,DL60KZ4598,TG-03,2026-09-03 10:28:25,NH44
TAG-1047,DL25HZ9883,TG-03,2026-09-03 10:29:40,NH44
TAG-1032,TS67LF2049,TG-07,2026-09-03 10:31:57,NH44
TAG-1015,TN84MX8517,TG-03,2026-09-03 10:32:44,NH44
TAG-1047,DL25HZ9883,TG-04,2026-09-03 10:34:44,NH44
TAG-1025,TN20JD9689,TG-07,2026-09-03 10:39:12,NH44
TAG-1044,GJ63MW1960,TG-04,2026-09-03 10:39:27,NH44
TAG-1023,DL59AT5315,TG-06,2026-09-03 10:43:47,NH44
TAG-1034,KA10SB2104,TG-07,2026-09-03 10:44:29,NH44
TAG-1021,HR71WA2876,TG-04,2026-09-03 10:57:37,NH44
TAG-1049,DL08ZB4044,TG-03,2026-09-03 10:58:24,NH44
TAG-1002,TN65QP9928,TG-07,2026-09-03 11:00:47,NH44
TAG-1047,DL25HZ9883,TG-02,2026-09-03 11:00:53,NH44
TAG-1012,DL60KZ4598,TG-04,2026-09-03 11:03:03,NH44
TAG-1021,HR71WA2876,TG-05,2026-09-03 11:05:05,NH44
TAG-1015,TN84MX8517,TG-02,2026-09-03 11:06:56,NH44
TAG-1024,DL65XW5889,TG-06,2026-09-03 11:08:55,NH44
TAG-1037,TN61VE2588,TG-07,2026-09-03 11:11:18,NH44
TAG-1018,UP29ZD9085,TG-01,2026-09-03 11:11:49,NH44
TAG-1044,GJ63MW1960,TG-05,2026-09-03 11:12:36,NH44
TAG-1025,TN20JD9689,TG-06,2026-09-03 11:24:53,NH44
TAG-1022,HR99RC8123,TG-01,2026-09-03 11:24:57,NH44
TAG-1032,TS67LF2049,TG-08,2026-09-03 11:25:49,NH44
TAG-1023,DL59AT5315,TG-07,2026-09-03 11:28:47,NH44
TAG-1038,GJ46LM1887,TG-01,2026-09-03 11:31:04,NH44
TAG-1034,KA10SB2104,TG-06,2026-09-03 11:32:43,NH44
TAG-1012,DL60KZ4598,TG-05,2026-09-03 11:38:59,NH44
TAG-1021,HR71WA2876,TG-05,2026-09-03 11:39:44,NH44
TAG-1049,DL08ZB4044,TG-04,2026-09-03 11:46:09,NH44
TAG-1047,DL25HZ9883,TG-01,2026-09-03 11:47:07,NH44
TAG-1015,TN84MX8517,TG-01,2026-09-03 11:52:23,NH44
TAG-1024,DL65XW5889,TG-07,2026-09-03 11:53:00,NH44
TAG-1022,HR99RC8123,TG-02,2026-09-03 12:05:56,NH44
TAG-1030,HR68WL4470,TG-04,2026-09-03 12:06:27,NH44
TAG-1010,UP21JF5374,TG-03,2026-09-03 12:14:12,NH44
TAG-1038,GJ46LM1887,TG-02,2026-09-03 12:14:15,NH44
TAG-1039,MH08KJ2790,TG-07,2026-09-03 12:19:55,NH44
TAG-1021,HR71WA2876,TG-06,2026-09-03 12:20:49,NH44
TAG-1025,TN20JD9689,TG-05,2026-09-03 12:21:05,NH44
TAG-1034,KA10SB2104,TG-05,2026-09-03 12:25:17,NH44
TAG-1025,TN20JD9689,TG-06,2026-09-03 12:26:34,NH44
TAG-1030,HR68WL4470,TG-05,2026-09-03 12:38:35,NH44
TAG-1024,DL65XW5889,TG-08,2026-09-03 12:42:37,NH44
TAG-1043,KA12YW3724,TG-05,2026-09-03 12:44:19,NH44
TAG-1010,UP21JF5374,TG-02,2026-09-03 12:44:36,NH44
TAG-1022,HR99RC8123,TG-03,2026-09-03 12:48:45,NH44
TAG-1038,GJ46LM1887,TG-03,2026-09-03 12:54:25,NH44
TAG-1020,GJ77BK8668,TG-08,2026-09-03 12:57:10,NH44
TAG-1025,TN20JD9689,TG-04,2026-09-03 13:01:46,NH44
TAG-1039,MH08KJ2790,TG-06,2026-09-03 13:02:49,NH44
TAG-1021,HR71WA2876,TG-07,2026-09-03 13:07:07,NH44
TAG-1034,KA10SB2104,TG-04,2026-09-03 13:09:07,NH44
TAG-1042,TS71CR9856,TG-04,2026-09-03 13:14:41,NH44
TAG-1030,HR68WL4470,TG-06,2026-09-03 13:19:32,NH44
TAG-1014,UP52GF6155,TG-03,2026-09-03 13:19:42,NH44
TAG-1043,KA12YW3724,TG-04,2026-09-03 13:20:08,NH44
TAG-1022,HR99RC8123,TG-04,2026-09-03 13:25:46,NH44
TAG-1038,GJ46LM1887,TG-04,2026-09-03 13:26:00,NH44
TAG-1050,MH77BW7615,TG-02,2026-09-03 13:30:22,NH44
TAG-1010,UP21JF5374,TG-01,2026-09-03 13:32:54,NH44
TAG-1020,GJ77BK8668,TG-07,2026-09-03 13:40:59,NH44
TAG-1016,DL34DT9830,TG-03,2026-09-03 13:42:40,NH44
TAG-1034,KA10SB2104,TG-03,2026-09-03 13:43:02,NH44
TAG-1004,DL90LG4527,TG-04,2026-09-03 13:45:19,NH44
TAG-1039,MH08KJ2790,TG-05,2026-09-03 13:46:03,NH44
TAG-1022,HR99RC8123,TG-05,2026-09-03 13:57:15,NH44
TAG-1042,TS71CR9856,TG-03,2026-09-03 13:58:11,NH44
TAG-1043,KA12YW3724,TG-03,2026-09-03 13:58:16,NH44
TAG-1014,UP52GF6155,TG-04,2026-09-03 13:58:59,NH44
TAG-1001,MH76LA4582,TG-05,2026-09-03 14:02:39,NH44
TAG-1030,HR68WL4470,TG-07,2026-09-03 14:05:48,NH44
TAG-1038,GJ46LM1887,TG-05,2026-09-03 14:07:29,NH44
TAG-1050,MH77BW7615,TG-03,2026-09-03 14:07:30,NH44
TAG-1039,MH08KJ2790,TG-04,2026-09-03 14:16:52,NH44
TAG-1016,DL34DT9830,TG-04,2026-09-03 14:18:08,NH44
TAG-1004,DL90LG4527,TG-05,2026-09-03 14:22:21,NH44
TAG-1045,DL49AK8454,TG-06,2026-09-03 14:27:40,NH44
TAG-1020,GJ77BK8668,TG-06,2026-09-03 14:29:28,NH44
TAG-1007,MH71HR6925,TG-03,2026-09-03 14:35:09,NH44
TAG-1042,TS71CR9856,TG-02,2026-09-03 14:36:39,NH44
TAG-1043,KA12YW3724,TG-02,2026-09-03 14:37:48,NH44
TAG-1014,UP52GF6155,TG-05,2026-09-03 14:38:34,NH44
TAG-1022,HR99RC8123,TG-06,2026-09-03 14:45:46,NH44
TAG-1030,HR68WL4470,TG-08,2026-09-03 14:45:58,NH44
TAG-1050,MH77BW7615,TG-04,2026-09-03 14:48:36,NH44
TAG-1016,DL34DT9830,TG-05,2026-09-03 14:49:22,NH44
TAG-1038,GJ46LM1887,TG-06,2026-09-03 14:54:45,NH44
TAG-1001,MH76LA4582,TG-06,2026-09-03 14:57:20,NH44
TAG-1004,DL90LG4527,TG-06,2026-09-03 15:04:06,NH44
TAG-1040,TN25EL7912,TG-03,2026-09-03 15:05:10,NH44
TAG-1008,TN91BR5741,TG-02,2026-09-03 15:06:22,NH44
TAG-1045,DL49AK8454,TG-05,2026-09-03 15:09:27,NH44
TAG-1011,MH78RN5010,TG-01,2026-09-03 15:12:25,NH44
TAG-1007,MH71HR6925,TG-04,2026-09-03 15:13:12,NH44
TAG-1020,GJ77BK8668,TG-05,2026-09-03 15:13:21,NH44
TAG-1042,TS71CR9856,TG-01,2026-09-03 15:16:27,NH44
TAG-1043,KA12YW3724,TG-01,2026-09-03 15:22:31,NH44
TAG-1050,MH77BW7615,TG-05,2026-09-03 15:22:34,NH44
TAG-1014,UP52GF6155,TG-06,2026-09-03 15:26:37,NH44
TAG-1008,TN91BR5741,TG-03,2026-09-03 15:38:12,NH44
TAG-1029,DL17RY3705,TG-03,2026-09-03 15:38:51,NH44
TAG-1016,DL34DT9830,TG-06,2026-09-03 15:39:14,NH44
TAG-1001,MH76LA4582,TG-07,2026-09-03 15:40:20,NH44
TAG-1004,DL90LG4527,TG-07,2026-09-03 15:43:20,NH44
TAG-1045,DL49AK8454,TG-04,2026-09-03 15:47:00,NH44
TAG-1040,TN25EL7912,TG-04,2026-09-03 15:47:40,NH44
TAG-1020,GJ77BK8668,TG-04,2026-09-03 15:50:43,NH44
TAG-1007,MH71HR6925,TG-05,2026-09-03 15:53:40,NH44
TAG-1028,MH94MB9727,TG-07,2026-09-03 15:58:24,NH44
TAG-1011,MH78RN5010,TG-02,2026-09-03 16:00:25,NH44
TAG-1014,UP52GF6155,TG-07,2026-09-03 16:09:20,NH44
TAG-1050,MH77BW7615,TG-06,2026-09-03 16:12:54,NH44
TAG-1008,TN91BR5741,TG-04,2026-09-03 16:18:04,NH44
TAG-1041,DL36MW2235,TG-03,2026-09-03 16:18:44,NH44
TAG-1029,DL17RY3705,TG-04,2026-09-03 16:24:42,NH44
TAG-1045,DL49AK8454,TG-03,2026-09-03 16:26:59,NH44
TAG-1011,MH78RN5010,TG-03,2026-09-03 16:28:55,NH44
TAG-1004,DL90LG4527,TG-08,2026-09-03 16:29:35,NH44
TAG-1040,TN25EL7912,TG-05,2026-09-03 16:30:27,NH44
TAG-1007,MH71HR6925,TG-06,2026-09-03 16:31:05,NH44
TAG-1020,GJ77BK8668,TG-03,2026-09-03 16:31:25,NH44
TAG-1031,TN92HZ7118,TG-07,2026-09-03 16:37:17,NH44
TAG-1035,KA43BF8953,TG-06,2026-09-03 16:37:48,NH44
TAG-1028,MH94MB9727,TG-06,2026-09-03 16:45:19,NH44
TAG-1041,DL36MW2235,TG-04,2026-09-03 16:51:14,NH44
TAG-1050,MH77BW7615,TG-07,2026-09-03 16:51:53,NH44
TAG-1029,DL17RY3705,TG-05,2026-09-03 16:58:03,NH44
TAG-1008,TN91BR5741,TG-05,2026-09-03 17:02:12,NH44
TAG-1011,MH78RN5010,TG-04,2026-09-03 17:04:52,NH44
TAG-1045,DL49AK8454,TG-02,2026-09-03 17:05:59,NH44
TAG-1040,TN25EL7912,TG-06,2026-09-03 17:12:49,NH44
TAG-1033,UP03QF4608,TG-08,2026-09-03 17:15:44,NH44
TAG-1035,KA43BF8953,TG-05,2026-09-03 17:22:20,NH44
TAG-1027,HR31BX2290,TG-06,2026-09-03 17:23:10,NH44
TAG-1031,TN92HZ7118,TG-06,2026-09-03 17:24:28,NH44
TAG-1019,MH97BC3621,TG-04,2026-09-03 17:29:42,NH44
TAG-1041,DL36MW2235,TG-05,2026-09-03 17:32:14,NH44
TAG-1028,MH94MB9727,TG-05,2026-09-03 17:40:15,NH44
TAG-1008,TN91BR5741,TG-06,2026-09-03 17:43:20,NH44
TAG-1029,DL17RY3705,TG-06,2026-09-03 17:44:32,NH44
TAG-1045,DL49AK8454,TG-01,2026-09-03 17:50:28,NH44
TAG-1031,TN92HZ7118,TG-05,2026-09-03 18:02:56,NH44
TAG-1033,UP03QF4608,TG-07,2026-09-03 18:04:41,NH44
TAG-1035,KA43BF8953,TG-04,2026-09-03 18:05:41,NH44
TAG-1019,MH97BC3621,TG-03,2026-09-03 18:07:32,NH44
TAG-1027,HR31BX2290,TG-05,2026-09-03 18:08:03,NH44
TAG-1031,TN92HZ7118,TG-04,2026-09-03 18:41:38,NH44
TAG-1027,HR31BX2290,TG-04,2026-09-03 18:43:14,NH44
TAG-1019,MH97BC3621,TG-02,2026-09-03 18:44:53,NH44
TAG-1035,KA43BF8953,TG-03,2026-09-03 18:47:29,NH44
TAG-1033,UP03QF4608,TG-06,2026-09-03 18:48:56,NH44
TAG-1031,TN92HZ7118,TG-03,2026-09-03 19:19:13,NH44
TAG-1031,TN92HZ7118,TG-04,2026-09-03 19:25:52,NH44
TAG-1027,HR31BX2290,TG-03,2026-09-03 19:26:34,NH44
TAG-1033,UP03QF4608,TG-05,2026-09-03 19:38:08,NH44
TAG-1031,TN92HZ7118,TG-02,2026-09-03 19:55:37,NH44
TAG-1033,UP03QF4608,TG-04,2026-09-03 20:19:58,NH44
TAG-1033,UP03QF4608,TG-03,2026-09-03 21:00:16,NH44
